ajoneuvoluokka,ensirekisterointipvm,ajoneuvoryhma,ajoneuvonkaytto,variantti,versio,kayttoonottopvm,vari,ovienLukumaara,korityyppi,ohjaamotyyppi,istumapaikkojenLkm,omamassa,teknSuurSallKokmassa,tieliikSuurSallKokmassa,ajonKokPituus,ajonLeveys,ajonKorkeus,kayttovoima,iskutilavuus,suurinNettoteho,sylintereidenLkm,ahdin,sahkohybridi,merkkiSelvakielinen,mallimerkinta,vaihteisto,vaihteidenLkm,kaupallinenNimi,voimanvalJaTehostamistapa,tyyppihyvaksyntanro,yksittaisKayttovoima,kunta,Co2,matkamittarilukema,alue,valmistenumero2,jarnro
M1,1984-08-13,,01,,,19840000,6,,,1,5,750,1215,1125,,1540,,01,1190,,4,,,Opel,2D CORSA-TR-1.2S-A-91/2340,,,CORSA-A,05,,01,167,,,822,VSX000091E,496
N1,2001-02-15,,01,,,20010215,6,,,,2,1085,1530,1530,3860,1690,,01,1490,78,,,,Toyota,5D YARIS VERSO STW 1.5-NCP21L-CHMGKW/250,,,,05,,01,233,157,169544,623,,497
M1,2005-04-20,,01,CUR12(R),CUR10L-GRMEYW(1C),20050420,8,,AF,,7,1580,2140,2140,4360,1770,1620,02,1990,85,4,true,,Toyota,5D COROLLA VERSO MPV 2.0 D-4D-7-CUR10L-GRMEYW/275,,,COROLLA VERSO,05,e11*01/116*0222*02,02,729,165,220859,431,NMTEX16R70,498
M1,1994-01-04,,01,,,19940104,2,,,1,5,1420,1940,1940,4710,1760,,01,2430,103,5,,,Volvo,5D STW 850 GL-LW51/266,,,850,05,,01,740,,328329,571,YV1LW5122R,499
M1,1992-08-21,,01,,,19920821,6,,,1,5,1080,,1455,4240,1690,1410,01,1790,66,4,,,Opel,4D ASTRA 1.8I GLS-F-57/252,,,ASTRA-F-SEDAN,05,,01,092,,,016,W0L000057N,500
M1,2006-04-28,,01,E,QY,20060428,8,,AA,,5,1688,2150,2150,4800,1830,1480,02,1990,103,4,true,,Hyundai,4D SONATA SEDAN 2.0D CRDI AUTOMATIC-E-41VP/273,,,SONATA,05,e11*01/116*0241*03,02,831,191,162872,549,KMHEU41VP6,501
O1,1999-04-29,1,01,,,19990000,,,,,,290,750,750,,1920,,,,,,,,Omavalmiste,750/3050,,,,,,,915,,,785,,502
O1,1997-07-29,13,01,,,19970729,,,,,,150,750,750,5540,2060,,,,,,,,Aku,75 VL/441,,,,,,,927,,,031,,503
M1,1996-08-30,,01,AE101(H),AE101L-AHMDKW(11),19960830,8,4,AB,1,5,1120,1595,1595,4100,1690,1380,01,1580,84,4,false,false,Toyota,4D COROLLA HATCHBACK 1.6XLI-AE101L-AHMDKW/247,,,COROLLA,05,e6*93/81*0005*01,01,179,,176908,405,JT154AEA10,504
MUU,,509,01,,,19570000,,,,,1,1500,,,,,,02,2250,,,,,Ferguson,35SDM,,,,,,02,286,,,451,,505
T,2003-01-13,75,01,,B2,20030113,,,,,2,5360,9000,,4680,,2950,02,7140,100,6,true,,Deutz-Fahr,AGROTRON 135-TT4-4X4/277,,,,02,e1-74/150-0030-07,02,297,,,705,,506
M1,2003-05-07,,01,,5902241106,20030507,5,,AA,,5,1345,1815,1815,4680,1780,1440,01,1790,88,4,,,Mazda,4D MAZDA6 SEDAN 1.8-GG1282/268,,,6,05,,01,491,185,207053,528,JMZGG12823,507
M1,1993-03-26,,05,,,19930326,2,,,1,5,1040,1530,1530,4260,1690,,01,1330,65,4,,,Toyota,5D COROLLA STW XLI-EE101L-AWMDKW/247,,,COROLLA,05,,01,494,,,915,JT172EEA10,508
M1,2003-04-11,,01,,5900183301,20030411,1,,AB,,5,1371,1790,1790,4570,1760,1480,01,1590,80,4,,,Nissan,5D PRIMERA HATCHBACK 1.6-FAAP12/268,,,PRIMERA,05,,01,109,173,189749,131,SJNFAAP12U,509
M1,1998-12-18,,01,,5267095335,19981218,2,,AB,,5,1245,1700,1700,4160,1740,,01,1590,74,4,,,Volkswagen,4D GOLF 1.6-1J/250,,,GOLF,05,,01,886,185,298528,293,WVWZZZ1JZX,510
O2,1989-04-05,13,01,,,19890405,,,,,,1170,,1500,,2300,,,,,,,,Knaus,,,,,08,,,834,,,312,,511
O1,1983-05-16,1,01,,,19830000,,,,,,150,650,650,3300,1670,,,,,,,,Kärppä,MIDI/2310,,,,,,,405,,,539,,512
MUU,1989-04-20,109,01,,,19890000,,,,,1,200,,,,840,,01,454,37,,,,Kawasaki,450LTD-EN450A/454,,,,04,,01,400,,,238,,513
O1,2002-04-23,1,01,,,20020423,,,,,,140,750,750,3850,1650,,,,,,,,Muuli,1250 XI/250,,,,,,,564,,,905,,514
O1,2001-05-16,13,01,,,20010516,,,,,,165,700,700,4840,1880,,,,,,,,Aku,700 V-2/393,,,700 V-2/393,,,,593,,,761,,515
O2,2002-05-13,13,05,,,20020513,,,,,,610,2500,2500,8000,2200,,,,,,,,Starset,VT2500,,,,08,,,543,,,019,,516
O1,1997-01-22,1,01,,,19970122,,,,,,220,750,750,4000,1830,,,,,,,,JC-Trailer,J 28T/226+60,,,,,,,739,,,547,,517
M1,1995-02-03,,01,,,19950203,8,,,1,7,1350,1980,1980,4520,1700,,01,1990,98,,,,Mitsubishi,5D SPACE WAGON 2.0 GLXI-L-N33W/272,,,,10,,01,422,,240292,817,JMBLNN33WR,518
M1,1985-09-12,,01,,,19850000,6,,,1,5,880,1385,1255,,1640,,01,1290,,4,,,Toyota,4D COROLLA SE-EE80L-EEMDSW/2430,,,COROLLA,05,,01,297,,255503,733,JT1E0EE800,519
O1,1979-05-02,1,01,,,19790000,,,,,,130,580,580,3150,1420,,,,,,,,Carry,A500A/2110,,,,,,,853,,,207,,520
M1,2001-09-28,,01,A,A20,20010928,6,,AA,,5,1240,1690,1690,4430,1710,1450,01,1490,66,4,,,Nissan,4D ALMERA SEDAN 1.5-BAAN16/254,,,ALMERA,05,e11*98/14*0129*03,01,297,160,263724,711,SJNBAAN16U,521
M1,2003-08-14,,01,VS17,VS17K2,20030814,5,,AA,,5,1355,1750,1750,4520,1720,1420,01,1940,100,4,,,Volvo,4D S40 SEDAN 2.0-VS17K2/256,,,S40,05,e4*2001/116*0007*19,01,638,194,179946,074,YV1VS17K24,522
M1,2006-03-27,,01,BXA1A,01AD,20060327,1,,AB,,5,950,1385,1385,3870,1660,1480,01,1240,44,4,,,Fiat,4D PUNTO HATCHBACK 1.2 8V-188BXA1A01AD/246,,,PUNTO,05,e3*98/14*0048*08,01,106,136,183000,058,ZFA1880000,523
M1,2006-11-01,,01,,,20061101,0,4,AA,1,5,1610,2085,2085,4590,1770,1400,01,1980,147,4,true,false,Audi,4D A4 SEDAN QUATTRO 2.0T FSI AUTOMATIC-8E-4X4/266,,,A4,05,,01,108,224,105876,391,WAUZZZ8E77,524
O1,1988-06-09,1,01,,,19880000,,,,,,160,550,550,3950,1640,,,,,,,,Sukkela,25/2690,,,,,,,405,,,543,,525
MUU,1987-04-21,509,01,,,19870000,,,,,1,3450,8400,,,,,02,3920,,4,,,Zetor,7745-4X4/2220,,,,02,,02,615,,,931,,526
O1,1991-08-29,1,01,,,19910829,,,,,,190,750,750,4450,1640,,,,,,,,Jullikka,3017/2930,,,,,,,153,,,554,,527
M1,1994-01-24,,01,,,19940124,2,,,1,5,1420,1940,1940,4710,1760,,01,2430,103,5,,,Volvo,5D STW 850 SE-LW51/266,,,850,05,,01,564,,381731,901,YV1LW5102R,528
L1,,109,01,,,19830000,,,,,1,60,,,,710,,01,49,,1,,,Tunturi,SUPER SPORT-PUCH VZ50N4/49,,,,01,,01,091,,,008,,529
MUU,1984-07-02,13,01,,,19840000,,,,,,520,,2000,,2190,,,,,,,,Jullikka,2000/3770+700,,,,08,,,179,,,405,,530
M1,2005-05-13,,01,LBDWF1,FM6XF0R4F60P,20041015,8,,,1,5,1600,2105,2105,4920,1860,,01,2390,130,,,,Audi,4D A6 SEDAN 2.4-4F/286,,,A6,05,e1*01/116*0254*02,01,092,238,225684,017,WAUZZZ4F35,531
M1,2002-11-27,,01,ZZT220(E),ZZT220L-AEMNKW(2G),20021127,4,,AA,,5,1275,1730,1730,4520,1710,1430,01,1590,81,4,,,Toyota,4D AVENSIS SEDAN 1.6-ZZT220L-AEMNKW/263,,,AVENSIS,05,e11*96/79*0077*05,01,631,170,264072,273,SB153ZBN00,532
O1,1993-07-02,1,01,,,19930702,,,,,,180,750,750,3830,1640,,,,,,,,Aku,75 /252,,,,,,,505,,,045,,533
L3,1998-05-18,109,01,,,19980518,5,,,,1,200,380,,,840,,01,498,37,2,,,Kawasaki,EN-EN500A/498,,6,,04,,01,535,,,855,,534
O1,1998-10-16,1,01,,,19981016,,,,,,250,750,750,3880,1650,,,,,,,,Aku,75 TL/234+65,,,,,,,609,,,386,,535
N1,2002-03-19,,01,,,20020319,1,5,,,2,1455,2030,2030,4740,1760,,02,1990,66,,true,false,Peugeot,5D 406 BREAK 2.0 TURBO HDI-8ERHYF/270,,,406,05,,02,139,155,361700,911,,536
N1,2002-05-08,,01,,,20020508,2,4,,1,2,1413,1860,1860,4400,1740,1490,02,1890,50,4,false,false,Volkswagen,5D GOLF VARIANT 1.9SDI-1J/250,,,GOLF,05,,02,430,143,304681,327,,537
M1,1993-04-26,,01,,,19930426,9,,,1,5,990,1490,1490,4070,1700,,01,1360,55,4,,,Citroen,4D HATCHBACK ZX REFLEX-1.4I-N2A9/254,,,ZX,05,,01,753,,,041,VF7N2A9000,538
M1,1994-01-31,,01,,,19940131,8,,,1,5,1360,1870,1870,4730,1770,,01,2160,100,4,,,Toyota,4D CAMRY 2.2GL-SXV10L-AEMNKW/262,,,CAMRY,05,,01,531,,331747,292,JT153SV100,539
M1,2004-01-13,,01,,5267076574,20040113,2,,AC,,5,1476,1990,1990,4680,1750,1450,01,1980,96,4,,,Volkswagen,4D PASSAT VARIANT 2.0-3BG/269,,,PASSAT,05,,01,638,199,265040,062,WVWZZZ3BZ4,540
O2,2006-01-03,13,01,,,20060103,8,,,,,260,1500,1500,4800,1820,,,,,,,,Muuli,900J/318,,,900J/318,08,,,702,,,348,,541
M1,2001-02-26,,01,,51355713AY,20010226,8,,AB,,5,1152,1590,1590,4150,1700,1440,01,1590,74,4,,,Ford,4D FOCUS HATCHBACK 1.6-DAW/262,,,FOCUS,05,,01,217,169,246300,691,WF0AXXGCDA,542
M1,2005-11-10,,01,,,20010305,0,,,1,5,1810,2335,2335,4800,1800,,02,2920,142,,true,,BMW,5D 530D TOURING-DP71/283,,,530d,05,,02,609,194,394235,282,WBADP71050,543
M1,1997-10-14,,01,,5135442375,19971014,5,,AB,,5,1306,1790,1790,4560,1750,1380,01,1790,85,4,,,Ford,4D MONDEO HATCHBACK 1.8-BAP/270,,,MONDEO,05,,01,240,,236004,948,WF0AXXGBBA,544
MUU,1986-06-05,509,01,,,19860000,,,,,1,3030,6500,,,,,02,3590,,4,,,Case International,1394-134/2110,,,,02,,02,233,,,623,,545
M1,2004-01-30,,01,,5900183502,20040130,1,,AC,,5,1418,1880,1880,4680,1760,1480,01,1760,85,4,,,Nissan,5D PRIMERA WAGON 1.8-TBAP12/268,,,PRIMERA,05,,01,214,177,228230,387,SJNTBAP12U,546
M1,1985-08-21,,01,,,19850000,6,,,1,5,880,1350,1255,,1630,,01,1260,,4,,,Mazda,4D SEDAN 323-1.3-BD1231/2370,,,323,05,,01,564,,92142,908,JMZBD12310,547
M1,2001-05-04,,01,,5313241302,20010504,8,,AB,,5,1393,,1845,4620,1770,1480,01,1990,100,4,,,Citroen,4D C5 HATCHBACK 2.0I-DCRFNC/275,,,C5,05,,01,233,197,284142,623,VF7DCRFNC7,548
MUU,1997-11-04,509,01,,,19971104,,,,,1,3690,6500,,,,,02,4400,64,4,true,,Valmet,865-4-4X4/239,,,,01,,02,257,,,025,,549
M1,2000-01-12,,01,SEAFTX01,SGFM52K0144,20000112,2,,AC,,5,1150,1535,1535,4140,1640,1430,01,1590,74,4,,,Seat,5D CORDOBA VARIO 1.6-6K/244,,,CORDOBA,05,e9*93/81*0001*05,01,853,,135866,207,VSSZZZ6KZX,550
O1,1999-09-01,1,01,,,19990901,8,,,,,190,750,750,3850,1600,,,,,,,,Juhta,750 KLK/262,,,,,,,425,,,919,,551
N1,2007-05-24,,01,,,20070524,9,,,,1,1610,2260,2260,4530,1800,,02,1750,55,,true,,Ford,TRANSIT CONNECT VAN T220-1.8TDCI-PU2/291,,,TRANSIT CONNECT,05,,02,440,,180989,685,,552
M1,1987-06-08,,01,,,19870000,6,,,1,5,980,1450,1355,,1660,,01,1390,,4,,,Volvo,2D SEDAN 340 DL-343530/2400,,,340,05,,01,167,,159960,801,XLB343530H,553
O1,1987-05-14,1,,,,19870000,,,,,,160,750,750,,1640,,,,,,,,Carry,6/2320-2870,,,,,,,091,,,003,,554
M1,2003-01-30,,01,ZZE121(E),ZZE121L-DEMDKW(1B),20030130,Y,,AA,,5,1190,1655,1655,4390,1710,1470,01,1590,81,4,,,Toyota,4D COROLLA SEDAN 1.6-ZZE121L-DEMDKW/260,,,COROLLA,05,e11*98/14*0181*01,01,091,168,64954,007,NMTBZ28E10,555
L3e,2006-05-30,109,01,,,20060530,,,,,2,205,385,385,,750,,01,1202,25,,,,Buell,XB12S-SX03R/1202,,,BUELL LIGHTNING,02,,01,049,,,027,,556
L1,1999-05-06,109,01,,,19990506,,,,,1,80,265,,1740,680,,01,49,3.4,1,,,Yamaha,BW'S-SA051/49,,,BW'S-SA051/49,04,,01,738,,,215,,557
N1,2004-02-20,,01,,,20040220,8,,,,3,1950,2770,2770,5000,1910,1950,02,2140,110,4,true,,Mercedes-Benz,VITO KASTEN 115 CDI-639603/320,,,VITO 115 CDI,05,,02,704,,242033,213,,558
M1,2004-06-02,,01,,5267115384,20040602,6,,AB,,5,1093,1560,1560,3900,1650,1470,01,1390,55,4,,,Volkswagen,2D POLO HATCHBACK 1.4-9N/245,,,POLO,05,,01,853,154,78410,202,WVWZZZ9NZ4,559
O2,2006-06-28,13,01,,,20060628,,,,,,995,2400,2400,4590,2200,,,,,,,,Böckmann,L 185 DUO PORTA,,,,08,,,016,,,171,,560
O1,2002-03-26,1,01,,,20020326,,,,,,240,750,750,4820,1650,,,,,,,,Farmi Pro,33L,,,,,,,186,,,044,,561
MA,2000-03-06,107,01,,,20000306,,,,4,2,325,,,2940,1150,1220,01,368,31,2,,,Ski-Doo,TOURING E-377/368,,,,01,,01,297,,,776,,562
M1,2000-06-08,,01,,5606091332,20000608,2,,AB,,5,1450,1870,1870,4630,1710,1430,01,1980,136,4,true,,Saab,4D 9-3 HATCHBACK 2.0-TURBO-D-55H/261,,,9-3,05,,01,837,221,97095,337,YS3DE55H6Y,563
M1,2007-03-27,,01,RERFJ*,RERFJF,20070327,8,,AC,,5,1554,2079,2079,4750,1780,1480,01,1990,103,4,,,Citroen,5D C5 BREAK 2.0I  AUTOMATIC-RERFJF/275,,,C5,05,e2*01/116*0304*01,01,560,206,134372,164,VF7RERFJF7,564
M1,1994-07-06,,01,,,19940706,5,,,1,5,1200,1685,1685,4430,1700,1400,01,1990,85,4,,,Opel,4D VECTRA 2.0I-CDX-A-87/260,,,VECTRA-A,05,,01,297,,,703,W0L000087R,565
M1,1988-10-27,,01,,,19880000,8,,,1,5,1240,1720,1720,,1690,,01,1980,,4,,,Saab,5D COMBI SEDAN 900 I16-DM/2520,,,900,05,,01,905,,287097,653,YS3AC55D6K,566
MUU,1986-04-14,13,01,,,19860000,,,,,,170,,600,,1680,,,,,,,,Omavalmiste,2.55M/2450-3250,,,,,,,179,,,409,,567
M1,2003-06-11,,01,CHBA1,5ZDANJ,20030611,1,,AC,,5,1431,2030,2030,4800,1810,1430,01,1790,92,4,,,Ford,5D MONDEO STW 1.8-BWY/275,,,MONDEO,05,e1*98/14*0156*09,01,749,190,217490,718,WF0WXXGBBW,568
M1,2000-02-01,,01,,5560311544,20000201,9,,AC,,5,1565,1990,1990,4720,1760,1430,01,2430,125,5,,,Volvo,5D V70 WAGON 2.4 AUTOMATIC-LW61F9/266,,,V70,05,,01,398,,216952,152,YV1LW61F9Y,569
L3e,2007-03-28,109,01,0368,A,20070328,,,,4,2,259,495,495,2230,810,,01,1170,81,2,,,BMW,R 1200 RT-0368A/1170,,6,R 1200 RT,02,e1*2002/24*0228*03,01,564,,,902,,570
N1,1996-06-27,,01,,,19960627,5,,,,3,1760,2800,2800,5110,1840,,02,2370,,5,,,Volkswagen,TRANSPORTER 2.4D-70X0A-3-KASTEN/332,,,TRANSPORTER,05,,02,106,,498715,058,,571
M1,1991-01-23,,01,,,19910123,6,,,1,5,1360,1840,1735,,1740,,02,2490,,5,,,Mercedes-Benz,4D SEDAN 250D-124125/2800,,,250D,05,,02,226,,473867,435,WDB1241251,572
M1,1999-10-29,,05,,5267084120,19991029,6,,AA,,5,1636,2100,2100,4680,1740,1450,01,2770,142,6,,,Volkswagen,4D PASSAT SEDAN 4-MOTION 2.8 AUTOMATIC-3B-4X4/270,,,PASSAT,05,,01,562,264,,353,WVWZZZ3BZY,573
O2,2005-08-25,13,01,,,20050825,,,,,,400,1800,1800,7050,2230,,,,,,,,Starset,VT 1800,,,,08,,,235,,,027,,574
M1,2005-04-29,,01,,,20050429,8,,,1,5,1410,1900,1900,4700,1780,,01,1790,88,,,,Mazda,5D MAZDA6 STW 1.8-GY1982/268,,,6,05,,01,091,193,261360,009,JMZGY19825,575
L1,,109,01,,,19910000,,,,,1,60,,,,680,,01,50,,1,,,Suzuki,SOLIFER-PV50/50,,,,01,,01,536,,,371,,576
MUU,,509,01,,,19660000,,,,,1,2730,,,,,,02,3780,,,,,Volvo,350/2305,,,,,,02,322,,,257,,577
M1,2004-01-05,,01,,5267361194,20040105,2,,AA,,5,1352,1830,1830,4370,1740,1440,02,1890,74,4,true,,Volkswagen,4D BORA SEDAN 1.9TDI-1J/250,,,BORA,05,,02,564,138,227115,909,WVWZZZ1JZ4,578
M1,2003-11-14,,01,ZZT250(L),ZZT250L-ALMNKW(1B),20031114,6,,AB,,5,1340,1820,1820,4630,1760,1480,01,1590,81,4,,,Toyota,4D AVENSIS LIFTBACK 1.6-ZZT250L-ALMNKW/270,,,AVENSIS,05,e11*2001/116*0196*01,01,503,172,192489,231,SB1DZ56LX0,579
N1,2002-03-21,,01,,,20020321,6,,,,3,1760,2705,2705,4710,1840,,02,2460,65,5,true,,Volkswagen,TRANSPORTER 2.5TDI-70X0A-KASTEN/292,,,TRANSPORTER,05,,02,143,,215401,395,,580
MUU,1976-06-15,509,01,,,19760000,,,,,1,3940,13000,,,,,02,4180,,4,,,Valmet,1102/2310,,,,02,,02,405,,,544,,581
O2,1991-06-17,13,01,,,19910617,,,,,,690,850,820,5700,2100,,,,,,,,CI-Sprite,MUSKETEER CD/3470,,,,08,,,698,,,962,,582
M1,2000-01-18,,01,,52492025AG,20000118,6,,AC,,5,1269,1780,1780,4290,1710,1510,01,1790,85,4,,,Opel,5D ASTRA CARAVAN 1.8-TGF35/261,,,ASTRA-G-CARAVAN,05,,01,092,190,306572,015,W0L0TGF35Y,583
M1,2004-03-11,,01,VW70,VW7092,20040311,8,,AC,,5,1395,1790,1790,4520,1720,1430,02,1870,85,4,true,,Volvo,5D V40 WAGON 1.9D HP-VW7092/256,,,V40,05,e4*2001/116*0007*20,02,244,142,297200,904,YV1VW70924,584
MA,2006-03-24,107,01,,,20060324,,,,4,1,350,,,2810,1230,1070,01,998,109,4,,,Yamaha,RX1-RX10GT-8GD/998,,,RX1,02,,01,837,,,337,,585
M1,2007-07-06,,01,R246K0,THBBA400,20060811,2,,,1,4,1555,2060,2060,4530,1730,,01,1790,105,,true,,Mercedes-Benz,5D C 180 KOMPRESSOR KOMBI AUTOMATIC-203246/272,,,C 180 KOMPRESSOR,05,e1*98/14*0158*18,01,858,203,112567,043,WDB2032461,586
M1,1990-01-30,,01,,,19900130,9,,,1,5,1250,,1625,,1690,,01,1980,,4,,,Saab,4D SEDAN 900I-IM/2520,,,900,05,,01,681,,140767,589,YS3AA45J9L,587
O1,1978-12-19,1,,,,19780000,,,,,,120,520,520,2900,1480,,,,,,,,Muuli,PV500/1940,,,,,,,491,,,514,,588
M1,1991-01-22,,01,,,19891211,2,,,1,5,1230,1630,1605,4350,1720,,01,2220,,,,,Audi,COUPE-2226-895/2550,,,,05,,01,092,,388097,015,WAUZZZ8BZK,589
M1,2006-04-18,,01,HWDA1W,5ABAL5,20060418,0,,AC,,5,1277,1820,1820,4470,1840,1460,01,1590,74,4,,,Ford,4D FOCUS STW 1.6-DA3/264,,,FOCUS,05,e13*01/116*0144*07,01,075,161,173617,494,WF0WXXGCDW,590
M1,2007-02-28,,01,HXDB1W,5ABAL6,20070228,8,,AC,,5,1279,1825,1825,4470,1840,1460,01,1590,85,4,,,Ford,5D FOCUS STW 1.6VCT-DA3/264,,,FOCUS,05,e13*01/116*0144*09,01,249,157,108207,429,WF0WXXGCDW,591
M1,2007-05-25,,01,M111A,5124A,20070525,2,,AF,,5,1542,2050,2050,4350,1800,1700,01,1970,104,4,,,Kia,5D SPORTAGE SUV 2.0-JE5522/263,,,SPORTAGE,05,e4*01/116*0089*05,01,611,190,128683,071,KNEJE55227,592
N1,2007-08-01,,01,,,20070801,8,,,,3,2116,3000,3000,5290,1900,1950,02,2460,96,5,true,,Volkswagen,TRANSPORTER CARAVELLE 2.5TDI-7HC-KOMBI-S/340,,,TRANSPORTER,05,,02,749,,200398,718,,593
MUU,1989-11-17,509,01,,,19891117,,,,,1,3550,8000,,,,,02,3290,,,,,Valmet,605-4-4X4/2290,,,,02,,02,710,,,104,,594
O1,1990-07-09,1,01,,,19900709,,,,,,150,600,600,3000,1640,,,,,,,,Elmeri,600/2010,,,,,,,092,,,013,,595
M1G,2004-01-02,,01,FB71,02,20040102,8,,AC,,5,2180,2695,2695,4670,1870,1720,02,2990,160,6,true,,BMW,5D X5 STW 3.0D AUTOMATIC-FB71-4X4/282,,,X5 3.0d,05,e1*2001/116*0153*07,02,620,250,398166,892,WBAFB71090,596
O2,2007-09-12,13,01,,,20070912,,,,,,510,2000,2000,7070,2300,,,,,,,,JSI-Trailers,VT 2000/508+70,,,VT 2000/508+70,08,,,398,,,151,,597
M1,2006-03-06,,01,VU31,12,20060306,0,,AC,,5,1595,2060,2060,4520,1820,1420,02,1990,120,4,true,,BMW,5D 320D TOURING AUTOMATIC-VU31/276,,,320d,05,e1*01/116*0308*03,02,257,184,210615,024,WBAVU31030,598
MUU,,509,01,,,19680000,,,,,1,1530,,,,,,02,2500,,,,,Massey Ferguson,135/1830,,,,,,02,609,,,282,,599
M1,1993-03-03,,01,,,19930303,2,,,1,5,990,1490,1490,4070,1700,,01,1360,55,4,,,Citroen,4D HATCHBACK ZX REFLEX-1.4I-N2A9/254,,,ZX,05,,01,761,,87383,314,VF7N2A9000,600
M1,2003-10-24,,01,LW51,LW5102,19980821,6,,,1,5,1553,1970,1970,4720,1760,,01,2430,106,,,,Volvo,5D STW V70 2.5-LW51/266,,,,05,e9*93/81*0002,01,599,,353123,688,YV1LW5102W,601
M1,2001-05-30,,01,,52491535BX,20010530,8,5,AC,1,5,1495,2040,2040,4490,1710,1490,02,2170,92,4,true,,Opel,VECTRA-B CARAVAN Farmari (AC) 5ov 2170cm3,1,5,VECTRA-B CARAVAN,05,,02,698,178,293733,976,W0L0JBF351,602
N1,2005-02-25,,01,,,20050225,9,,,,3,1932,2800,2800,5290,1900,1950,02,2460,96,5,true,,Volkswagen,TRANSPORTER 2.5TDI-7HK-KASTEN-LN/340,,,TRANSPORTER,05,,02,109,,318100,169,,603
N3,2006-05-10,,01,,,20010306,,,,,2,12050,25000,25000,8780,2500,,02,15920,390,,true,,Mercedes-Benz,2553DN-95011-6X2/480+135,,,,07,,02,091,,679000,001,,604
M1,2004-03-12,,01,C,B,20040312,6,,AB,,5,1080,1470,1470,3850,1670,1530,01,1360,54,4,,,Citroen,4D C3 HATCHBACK 1.4I-FCKFVB/246,,,C3,05,e2*98/14*0257*01,01,609,148,50939,296,VF7FCKFVB2,605
O2,2002-08-28,13,01,,,20020828,,,,,,240,1600,1600,6590,2100,,,,,,,,Juhta,1600 VJ,,,,08,,,049,,,022,,606
MTK,2000-04-28,87,01,,,20000428,X,,,1,1,20490,,,9400,2530,3400,02,5880,126,6,true,,Case,1188-P-4X4/300,,,,06,,02,564,,,909,,607
O1,2000-05-04,1,01,,,20000504,,,,,,190,750,750,4520,1730,,,,,,,,Te-Ho,331/299,,,,,,,980,,,334,,608
M1,2002-11-25,,01,FYDB1,5CADLH,20021125,8,,AC,,5,1180,1635,1635,4450,1700,1460,01,1590,74,4,,,Ford,5D FOCUS STW 1.6-DNW/262,,,FOCUS,05,e13*97/27*0040*11,01,915,165,222670,788,WF0NXXGCDN,609
M1,2006-11-10,,01,ACBXEX01,FM5FM5A4009O,20061110,8,,AC,,5,1400,1985,1985,4570,1770,1450,02,1890,77,4,true,,Skoda,4D OCTAVIA COMBI 1.9TDI-77-S-1Z/258,,,OCTAVIA,05,e11*01/116*0230*16,02,179,143,228592,404,TMBGS61Z47,610
N1,2007-04-26,,01,,,20070426,Y,,,,3,2060,3000,3000,5240,1800,1990,02,2490,86,4,true,,Toyota,HIACE VAN 2.5TD-KLH28L-SBMRHW-4X4/343,,,HIACE,05,,02,309,246,206640,835,,611
M1,2000-05-19,,01,1,1,20000519,2,,AB,,5,1455,1930,1930,4600,1750,1430,01,1990,108,4,,,Honda,4D ACCORD HATCHBACK 2.0-CH77/268,,,ACCORD,05,e11*98/14*0119*00,01,297,204,348423,708,SHHCH7740Y,612
M1,1999-07-29,,01,SCP10(H),SCP10L-AHMGKW(1B),19990729,2,,AB,,5,925,1320,1320,3620,1660,1500,01,990,50,4,,,Toyota,4D YARIS HATCHBACK 1.0-SCP10L-AHMGKW/237,,,YARIS,05,e6*98/14*0064*01,01,564,137,254014,905,JTDKV12320,613
O1,2000-05-22,13,05,,,20000522,,,,,,140,750,750,5500,1950,,,,,,,,Hol-Ma,750/4450,,,,,,,322,,,257,,614
M1,2003-05-14,,01,,,19921211,2,,,1,5,1300,1680,1680,4020,1700,,01,2790,128,,,,Volkswagen,2D GOLF VR6-1HXO-A/248,,,,05,,01,858,,242401,043,WVWZZZ1HZP,615
M1,2006-03-08,,01,E5,TYN,20060308,2,,AF,,5,1187,1600,1600,3830,1670,1500,02,1490,65,4,true,,Hyundai,4D GETZ HATCHBACK 1.5CRDI-B-51VP/246,,,GETZ,05,e4*98/14*0066*10,02,010,122,211253,611,KMHBU51VP6,616
N1,2000-07-24,,01,,,20000724,4,4,,,3,1750,2700,2700,4660,1880,1890,02,2150,60,4,true,false,Mercedes-Benz,108 CDI-638094-KASTEN/300,,,108 CDI,05,,02,286,,315516,451,,617
M1,1986-06-19,,01,,,19860000,1,,,1,5,880,1385,1255,,1640,,01,1290,,4,,,Toyota,4D COROLLA-EE80L-EEKRSW/2430,,,COROLLA,05,,01,761,,175468,314,JT1E0EE800,618
M1,2003-04-30,,01,C,B,20030430,8,,AB,,5,1268,1693,1693,4200,1750,1460,01,1580,80,4,,,Peugeot,4D 307 HATCHBACK 1.6I-3CNFUB/261,,,307,05,e2*98/14*0243*01,01,905,169,96842,653,VF33CNFUB8,619
O1,2006-03-10,1,01,,,20060310,,,,,,,750,750,3890,1650,,,,,,,,Heppu,750 PKL/265,,,,,,,297,,,708,,620
L3,1998-06-30,109,05,,,19980630,,,,,1,170,,,,670,,01,652,23,1,,,Suzuki,SAVAGE LS650-NP41A/652,,,,04,,01,743,,,601,,621
